question,answer,source,focus_area,q_word_len,a_word_len
What are the treatments for Cardiofaciocutaneous syndrome ?,"How might the the itching associated with cardiofaciocutaneous syndrome be treated? Xerosis (dry skin) and pruritus (itching) associated with cardiofaciocutaneous syndrome may be relieved by increasing the amount of moisture in the air or by using hydrating lotions. If signs of infection develop, treatment with antibiotics may be necessary.",GARD,Cardiofaciocutaneous syndrome,8,49
How many people are affected by arrhythmogenic right ventricular cardiomyopathy ?,"ARVC occurs in an estimated 1 in 1,000 to 1 in 1,250 people. This disorder may be underdiagnosed because it can be difficult to detect in people with mild or no symptoms.",GHR,arrhythmogenic right ventricular cardiomyopathy,11,32
what research (or clinical trials) is being done for Hypersomnia ?,"The NINDS supports and conducts research on sleep disorders such as hypersomnia. The goal of this research is to increase scientific understanding of the condition, find improved methods of diagnosing and treating it, and discover ways to prevent it.",NINDS,Hypersomnia,11,39
What are the treatments for Benign Essential Blepharospasm ?,In most cases of BEB the treatment of choice is botulinum toxin injections which relax the muscles and stop the spasms. Other treatment options include medications (drug therapy) or surgery--either local surgery of the eye muscles or deep brain stimulation surgery.,NINDS,Benign Essential Blepharospasm,9,41
What is the outlook for Tethered Spinal Cord Syndrome ?,"With treatment, individuals with tethered spinal cord syndrome have a normal life expectancy. However, some neurological and motor impairments may not be fully correctable. Surgery soon after symptoms emerge appears to improve chances for recovery and can prevent further functional decline.",NINDS,Tethered Spinal Cord Syndrome,10,41
How many people are affected by ankylosing spondylitis ?,"Ankylosing spondylitis is part of a group of related diseases known as spondyloarthropathies. In the United States, spondyloarthropathies affect 3.5 to 13 per 1,000 people.",GHR,ankylosing spondylitis,9,25
How many people are affected by Naegeli-Franceschetti-Jadassohn syndrome/dermatopathia pigmentosa reticularis ?,NFJS/DPR is a rare condition; its prevalence is unknown. Only a few affected families have been reported in the medical literature.,GHR,Naegeli-Franceschetti-Jadassohn syndrome/dermatopathia pigmentosa reticularis,11,21
What is the outlook for Trigeminal Neuralgia ?,"The disorder is characterized by recurrences and remissions, and successive recurrences may incapacitate the patient. Due to the intensity of the pain, even the fear of an impending attack may prevent activity. Trigeminal neuralgia is not fatal.",NINDS,Trigeminal Neuralgia,8,37
What is (are) Parasites - Lice - Head Lice ?,"The head louse, or Pediculus humanus capitis, is a parasitic insect that can be found on the head, eyebrows, and eyelashes of people. Head lice feed on human blood several times a day and live close to the human scalp. Head lice are not known to spread disease.",CDC,Parasites - Lice - Head Lice,10,48
Is Meesmann corneal dystrophy inherited ?,"This condition is inherited in an autosomal dominant pattern, which means one copy of an altered KRT12 or KRT3 gene in each cell is sufficient to cause the disorder. In most cases, an affected person inherits the condition from an affected parent.",GHR,Meesmann corneal dystrophy,6,42
How many people are affected by Friedreich ataxia ?,"Friedreich ataxia is estimated to affect 1 in 40,000 people. This condition is found in people with European, Middle Eastern, or North African ancestry. It is rarely identified in other ethnic groups.",GHR,Friedreich ataxia,9,32
Is CHMP2B-related frontotemporal dementia inherited ?,"This condition is inherited in an autosomal dominant pattern, which means one copy of the altered gene in each cell is sufficient to cause the disorder.",GHR,CHMP2B-related frontotemporal dementia,6,26
What are the treatments for Empty Sella Syndrome ?,"Unless the syndrome results in other medical problems, treatment for endocrine dysfunction associated with pituitary malfunction is symptomatic and supportive. Individuals with primary ESS who have high levels of prolactin may be given bromocriptine. In some cases, particularly when spinal fluid drainage is observed, surgery may be needed.",NINDS,Empty Sella Syndrome,9,48
What is the outlook for Atypical Chronic Myelogenous Leukemia ?,Certain factors affect prognosis (chance of recovery). The prognosis (chance of recovery) for atypical CML depends on the number of red blood cells and platelets in the blood.,CancerGov,Atypical Chronic Myelogenous Leukemia,10,28
How to prevent Acinetobacter in Healthcare Settings ?,"Acinetobacter can live on the skin and may survive in the environment for several days. Careful attention to infection control procedures, such as hand hygiene and environmental cleaning, can reduce the risk of transmission.",CDC,Acinetobacter in Healthcare Settings,8,34
How many people are affected by 3-hydroxyacyl-CoA dehydrogenase deficiency ?,The exact incidence of 3-hydroxyacyl-CoA dehydrogenase deficiency is unknown; it has been reported in only a small number of people worldwide.,GHR,3-hydroxyacyl-CoA dehydrogenase deficiency,10,21
Is Crouzon syndrome inherited ?,"This condition is inherited in an autosomal dominant pattern, which means one copy of the altered gene in each cell is sufficient to cause the disorder.",GHR,Crouzon syndrome,5,26
what research (or clinical trials) is being done for Alternating Hemiplegia ?,"The NINDS supports research on paralytic disorders such as alternating hemiplegia, with the goals of learning more about these disorders and finding ways to prevent, treat and, ultimately cure them.",NINDS,Alternating Hemiplegia,12,30
How many people are affected by argininosuccinic aciduria ?,"Argininosuccinic aciduria occurs in approximately 1 in 70,000 newborns.",GHR,argininosuccinic aciduria,9,9
What is (are) Creating a Family Health History ?,"A family health history is a written record of the diseases and health conditions within a family. It provides information about family members' medical histories, lifestyle habits, and early living environments.",NIHSeniorHealth,Creating a Family Health History,9,31
How many people are affected by proopiomelanocortin deficiency ?,POMC deficiency is a rare condition; approximately 50 cases have been reported in the medical literature.,GHR,proopiomelanocortin deficiency,9,16
How many people are affected by Kniest dysplasia ?,Kniest dysplasia is a rare condition; the exact incidence is unknown.,GHR,Kniest dysplasia,9,11
What are the treatments for renal tubular dysgenesis ?,These resources address the diagnosis or management of renal tubular dysgenesis:  - Genetic Testing Registry: Renal dysplasia   These resources from MedlinePlus offer information about the diagnosis and management of various health conditions:  - Diagnostic Tests  - Drug Therapy  - Surgery and Rehabilitation  - Genetic Counseling   - Palliative Care,GHR,renal tubular dysgenesis,9,48
What are the treatments for Moyamoya Disease ?,"There are several types of surgery that can restore blood flow (revascularization) to the brain by opening narrowed blood vessels or by bypassing blocked arteries. Children usually respond better to revascularization surgery than adults, but the majority of individuals have no further strokes or related problems after surgery.",NINDS,Moyamoya Disease,8,48
What is the outlook for Chorea ?,"The prognosis for individuals with chorea varies depending on the type of chorea and the associated disease. Huntington's disease is a progressive, and ultimately, fatal disease. Syndenham's chorea is treatable and curable.",NINDS,Chorea,7,32
How many people are affected by Kallmann syndrome ?,"Kallmann syndrome is estimated to affect 1 in 10,000 to 86,000 people and occurs more often in males than in females. Kallmann syndrome 1 is the most common form of the disorder.",GHR,Kallmann syndrome,9,32
How many people are affected by Carney complex ?,Carney complex is a rare disorder; fewer than 750 affected individuals have been identified.,GHR,Carney complex,9,14
